X,Y,D,e8:ba:70:61:07:00,e8:ba:70:c2:41:92,e8:ba:70:61:25:54,e8:ba:70:c2:4e:32,e8:ba:70:61:25:50,e8:ba:70:61:25:53,e8:ba:70:9c:c7:33,e8:ba:70:9c:c7:35,e8:ba:70:c2:44:15,58:35:d9:aa:d5:e3,e8:ba:70:c2:44:12,e8:ba:70:61:07:03,58:35:d9:aa:d5:e5,e8:ba:70:61:07:02,58:35:d9:aa:99:e0,e8:ba:70:c2:44:35,e8:ba:70:c2:44:14,e8:ba:70:c2:4e:33,30:f7:72:5c:ed:28,e8:ba:70:c2:44:13,e8:ba:70:61:07:01,dc:a5:f4:b8:73:82,58:35:d9:aa:d5:e0,e8:ba:70:c2:44:31,58:35:d9:aa:d5:e2,14:dd:a9:70:e7:40,e8:ba:70:c2:41:95,e8:ba:70:c2:41:91,e8:ba:70:c2:4e:34,e8:ba:70:92:aa:b3,e8:ba:70:c2:41:93,58:35:d9:aa:d5:e4,58:35:d9:aa:99:e1,e8:ba:70:9c:c7:31,e8:ba:70:c2:44:33,e8:ba:70:c2:44:10,dc:a5:f4:b8:73:85,00:19:5b:1f:fd:30,e8:ba:70:61:07:04,e8:ba:70:9c:c7:32,58:35:d9:aa:99:e3,e8:ba:70:61:25:55,e8:ba:70:61:07:05,e8:ba:70:c2:41:90,e8:ba:70:c2:4e:30,e8:ba:70:c2:4e:35,00:26:5a:41:4e:88,58:35:d9:aa:d5:e1,e8:ba:70:c2:41:94,e8:ba:70:61:25:52,dc:a5:f4:b8:73:81,e8:ba:70:c2:4e:31,e8:ba:70:61:25:51,58:35:d9:aa:99:e2,00:26:5a:41:4e:8a,e8:ba:70:c2:44:11,14:dd:a9:70:cc:60,dc:a5:f4:b8:73:80,e8:ba:70:9c:c7:30,e8:ba:70:c2:44:34,e8:ba:70:9c:c7:34,48:ee:0c:ee:27:e4,e8:ba:70:c2:44:32,dc:a5:f4:b8:73:83,dc:a5:f4:b8:73:84,58:35:d9:aa:99:e4
1,2,0,0,0,0,0,0,0,0,0,0,-72,0,0,-72,0,0,0,0,0,0,0,0,0,-69,0,-68,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0
1,2,1,0,0,0,0,0,0,0,0,0,-72,0,0,-72,0,0,0,0,0,0,0,0,0,-69,0,-71,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0
1,2,2,0,0,0,0,0,0,0,0,0,-72,0,0,-72,0,0,0,0,0,0,0,0,0,-79,0,-75,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,-78,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,-80,-89,0,0,0,0,0,-70,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,-71,0,0,0,0,0,-70,-72,0
2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,-89,0,0,0,0,0,-70,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,-71,0,0,0,0,0,-70,-72,0
2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,-81,0,0,0,0,0,-70,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,-71,0,0,0,0,0,-70,-76,0
2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,-82,-81,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,-70,-74,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,-79,0,0,0,0,0,-70,-78,0
3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,-75,0,0,0,0,0,-73,-74,0
3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,-80,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-78,0,0,-74,0,0,0,0,0,0,-74,0,0,0,0,0,-73,-74,0
3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,-77,0,0,-85,-86,0,0,0,0,0,-82,0,0,0,0,-77,0,0,0,-87,0,0,0,0,0,-91,-78,0,0,-74,0,0,0,0,0,0,-77,0,0,0,0,0,-73,-77,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,-77,0,0,-85,-86,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,-87,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,-73,-73,0
4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,-78,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,-73,-73,0
4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-80,0,0,-79,0,0,0,0,0,-78,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,-73,-73,0
4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,-68,-80,0,0,-81,0,0,0,0,0,-78,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,-69,0,0,0,0,0,-76,-69,0
5,2,0,0,0,0,0,0,0,0,0,0,-77,0,0,-76,0,0,0,0,0,0,0,0,-68,-77,0,0,-81,0,0,0,0,0,0,-92,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,-69,0,0,0,0,0,-76,-69,0
5,2,1,0,0,0,0,0,0,0,0,0,-77,0,0,-76,0,0,0,0,0,0,0,0,-75,-77,0,0,0,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-76,0
5,2,2,0,0,0,0,0,0,0,0,0,-77,0,0,-76,0,0,0,0,0,0,0,0,-77,-77,0,0,0,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,-76,-76,0
5,2,3,0,0,0,0,0,0,0,0,0,-77,0,0,-76,0,0,0,0,0,0,0,0,-78,-77,0,0,-80,0,0,0,0,0,0,-92,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,-77,0,0,0,0,0,-76,-79,0
6,2,0,0,0,0,0,0,0,0,0,0,-80,0,0,-80,0,0,0,0,0,0,0,0,-78,-80,0,0,-80,0,0,0,0,0,-79,-87,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,-77,0,0,0,0,0,-76,-79,0
6,2,1,0,0,0,0,0,0,0,0,0,-76,0,0,-76,0,0,0,0,0,0,0,0,-73,-77,0,0,-89,0,0,0,0,0,-79,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,-76,-74,0
6,2,2,0,0,0,0,0,0,0,0,0,-76,0,0,-76,0,0,0,0,0,0,0,0,-73,-77,0,0,-81,0,0,0,0,0,-79,-87,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,-76,-74,0
6,2,3,0,0,0,0,0,0,0,0,0,-76,0,0,-76,0,0,0,0,0,0,0,0,-73,-77,0,0,-77,0,0,0,0,0,-79,-87,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,-76,0,0,0,0,0,-76,-74,0
7,2,0,0,0,0,0,0,0,0,0,0,-82,0,0,-76,0,0,0,0,0,0,0,0,-71,-77,0,0,-81,0,0,0,0,0,0,-86,0,0,0,-72,0,0,0,0,0,0,0,0,0,-89,0,0,0,-71,0,0,-87,0,0,0,-71,0,0,0,0,0,-76,-71,-86
7,2,1,0,0,0,0,0,0,0,0,0,-75,0,0,-74,0,0,0,0,0,0,0,0,-74,-74,0,0,-84,0,0,0,0,0,0,-86,0,0,0,-72,0,0,0,0,0,0,0,0,0,-89,0,0,0,-72,0,0,-87,0,0,0,-73,0,0,0,0,0,-76,-73,-86
7,2,2,0,0,0,0,0,0,0,0,0,-75,0,0,-74,0,0,0,0,0,0,0,0,-74,-74,0,0,-77,0,0,0,0,0,0,-86,0,0,0,-72,0,0,0,0,0,0,0,0,0,-89,0,0,0,-72,0,0,-87,0,0,0,-73,0,0,0,0,0,-76,-73,-86
