X,Y,D,e8:ba:70:c2:4e:32,e8:ba:70:9c:c7:33,e8:ba:70:61:07:03,e8:ba:70:c2:4e:33,30:f7:72:5c:ed:28,dc:a5:f4:b8:73:82,14:dd:a9:70:e7:40,e8:ba:70:c2:4e:34,dc:a5:f4:b8:73:85,58:35:d9:aa:99:e3,e8:ba:70:c2:4e:30,e8:ba:70:c2:4e:35,dc:a5:f4:b8:73:81,e8:ba:70:c2:4e:31,14:dd:a9:70:cc:60,dc:a5:f4:b8:73:80,48:ee:0c:ee:27:e4,dc:a5:f4:b8:73:83,dc:a5:f4:b8:73:84
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,-78,0
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,0,-78,0
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,0,-78,0
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,0,-78,0
2,2,0,0,0,0,0,0,-72,-89,0,-71,0,0,0,-72,0,0,-71,0,-70,-72
2,2,1,0,0,0,0,0,-72,-89,0,-71,0,0,0,-72,0,0,-71,0,-70,-72
2,2,2,0,0,0,0,0,-72,-81,0,-75,0,0,0,-72,0,0,-71,0,-70,-76
2,2,3,0,0,0,0,0,-75,-81,0,-75,0,0,0,0,0,0,-73,0,-70,-74
3,2,0,0,0,0,0,0,-79,0,0,0,0,0,0,-81,0,0,-79,0,-70,-78
3,2,1,0,0,0,0,0,-74,0,0,0,0,0,0,-74,0,0,-75,0,-73,-74
3,2,2,0,0,0,0,0,-74,0,0,0,0,0,0,-74,0,0,-74,0,-73,-74
3,2,3,0,0,0,0,0,-77,-86,0,-77,-87,0,0,-74,0,0,-77,0,-73,-77
4,2,0,0,0,0,0,0,-77,-86,0,-73,-87,0,0,0,0,0,-73,0,-73,-73
4,2,1,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,-73,0,-73,-73
4,2,2,0,0,0,0,0,0,-79,0,-73,0,0,0,0,0,0,-73,0,-73,-73
