X,Y,D,e8:ba:70:61:07:00,e8:ba:70:c2:41:92,e8:ba:70:61:25:54,e8:ba:70:c2:4e:32,e8:ba:70:61:25:50,e8:ba:70:61:25:53,e8:ba:70:9c:c7:33,e8:ba:70:9c:c7:35,e8:ba:70:c2:44:15,58:35:d9:aa:d5:e3,e8:ba:70:c2:44:12,e8:ba:70:61:07:03,58:35:d9:aa:d5:e5,e8:ba:70:61:07:02,58:35:d9:aa:99:e0,e8:ba:70:c2:44:35,e8:ba:70:c2:44:14,e8:ba:70:c2:4e:33,30:f7:72:5c:ed:28,e8:ba:70:c2:44:13,e8:ba:70:61:07:01,dc:a5:f4:b8:73:82,58:35:d9:aa:d5:e0,e8:ba:70:c2:44:31,58:35:d9:aa:d5:e2,14:dd:a9:70:e7:40,e8:ba:70:c2:41:95,e8:ba:70:c2:41:91,e8:ba:70:c2:4e:34,e8:ba:70:92:aa:b3,e8:ba:70:c2:41:93,58:35:d9:aa:d5:e4,58:35:d9:aa:99:e1,e8:ba:70:9c:c7:31,e8:ba:70:c2:44:33,e8:ba:70:c2:44:10,dc:a5:f4:b8:73:85,00:19:5b:1f:fd:30,e8:ba:70:61:07:04,e8:ba:70:9c:c7:32,58:35:d9:aa:99:e3,e8:ba:70:61:25:55,e8:ba:70:61:07:05,e8:ba:70:c2:41:90,e8:ba:70:c2:4e:30,e8:ba:70:c2:4e:35,00:26:5a:41:4e:88,58:35:d9:aa:d5:e1,e8:ba:70:c2:41:94,e8:ba:70:61:25:52,dc:a5:f4:b8:73:81,e8:ba:70:c2:4e:31,e8:ba:70:61:25:51,58:35:d9:aa:99:e2,00:26:5a:41:4e:8a,e8:ba:70:c2:44:11,14:dd:a9:70:cc:60,dc:a5:f4:b8:73:80,e8:ba:70:9c:c7:30,e8:ba:70:c2:44:34,e8:ba:70:9c:c7:34,48:ee:0c:ee:27:e4,e8:ba:70:c2:44:32,dc:a5:f4:b8:73:83,dc:a5:f4:b8:73:84,58:35:d9:aa:99:e4,
1,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,0.0,0.0,-54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,0.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.5,0.0,0.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0
2,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.75,0.0,0.0,-40.5,-85.0,0.0,0.0,0.0,0.0,0.0,-52.5,0.0,0.0,0.0,0.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.75,0.0,0.0,-54.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.5,0.0,0.0,0.0,0.0,0.0,-70.0,-73.5,0.0
3,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.25,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,-41.25,-21.5,0.0,0.0,0.0,0.0,0.0,-41.0,0.0,0.0,0.0,0.0,-19.25,0.0,0.0,0.0,-21.75,0.0,0.0,0.0,0.0,0.0,-45.25,-39.0,0.0,0.0,-75.75,0.0,0.0,0.0,0.0,0.0,0.0,-76.25,0.0,0.0,0.0,0.0,0.0,-72.25,-75.75,0.0
4,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.75,0.0,-22.25,0.0,0.0,0.0,0.0,0.0,0.0,-36.25,-60.0,0.0,-21.25,-61.5,0.0,0.0,0.0,0.0,0.0,-58.5,0.0,0.0,0.0,0.0,-72.0,0.0,0.0,0.0,-21.75,0.0,0.0,0.0,0.0,0.0,-22.75,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.0,0.0,0.0,0.0,0.0,0.0,-73.75,-72.0,0.0
5,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.5,-77.0,0.0,0.0,-40.25,0.0,0.0,0.0,0.0,0.0,0.0,-92.0,0.0,0.0,0.0,-36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.75,0.0,0.0,0.0,0.0,0.0,-76.0,-75.0,0.0
6,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,0.0,0.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.25,-77.75,0.0,0.0,-81.75,0.0,0.0,0.0,0.0,0.0,-79.0,-87.0,0.0,0.0,0.0,-56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.5,0.0,0.0,0.0,0.0,0.0,0.0,-38.25,0.0,0.0,0.0,0.0,0.0,-76.0,-75.25,0.0
7,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.75,0.0,0.0,-75.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.0,-74.75,0.0,0.0,-78.25,0.0,0.0,0.0,0.0,0.0,0.0,-85.5,0.0,0.0,0.0,-71.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.5,0.0,0.0,0.0,-71.0,0.0,0.0,-65.25,0.0,0.0,0.0,-71.5,0.0,0.0,0.0,0.0,0.0,-74.75,-71.25,-64.5
8,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.5,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.75,-76.5,0.0,-57.75,-77.0,0.0,0.0,0.0,0.0,0.0,-76.25,-42.0,0.0,0.0,0.0,-71.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.5,-57.5,0.0,0.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.75,0.0,0.0,0.0,0.0,0.0,-71.75,-68.75,0.0
9,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.5,0.0,0.0,-37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.25,-38.25,0.0,-41.5,-74.0,0.0,0.0,0.0,0.0,0.0,-42.0,0.0,0.0,0.0,0.0,-18.25,0.0,0.0,0.0,-69.0,0.0,0.0,0.0,0.0,0.0,-87.5,-19.5,0.0,0.0,-45.25,0.0,0.0,-43.5,0.0,0.0,0.0,-72.0,0.0,0.0,0.0,0.0,0.0,-70.0,-71.75,0.0
10,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.0,0.0,0.0,-37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.5,-71.5,0.0,-76.0,-65.5,0.0,0.0,0.0,0.0,0.0,-71.0,0.0,0.0,0.0,0.0,-49.25,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,0.0,0.0,-85.0,-56.25,0.0,0.0,-48.75,0.0,0.0,-21.75,0.0,0.0,0.0,-48.25,0.0,0.0,0.0,-20.5,0.0,-63.25,-47.75,0.0
