X,Y,D,e8:ba:70:92:aa:b5,e8:ba:70:92:c4:e1,dc:a5:f4:b8:73:83,e8:ba:70:c2:44:11,e8:ba:70:c2:44:34,e8:ba:70:61:25:52,58:35:d9:aa:c2:44,58:35:d9:aa:d5:e3,e8:ba:70:61:07:01,e8:ba:70:c2:4e:31,dc:a5:f4:b8:73:84,dc:a5:f4:b8:73:80,58:35:d9:aa:19:64,58:35:d9:aa:d5:e0,e8:ba:70:c2:44:33,e8:ba:70:61:07:00,58:35:d9:aa:c2:42,e8:ba:70:9c:c7:33,e8:ba:70:c2:41:90,e8:ba:70:c2:41:95,e8:ba:70:92:aa:b4,e8:ba:70:61:25:55,e8:ba:70:92:b3:24,e8:ba:70:c2:44:32,e8:ba:70:61:25:50,e8:ba:70:c2:44:14,e8:ba:70:c2:44:35,e8:ba:70:92:b3:20,e8:ba:70:92:c4:e0,c4:a8:1d:8d:6f:08,e8:ba:70:c2:41:92,e8:ba:70:c2:44:13,58:35:d9:aa:d5:e5,e8:ba:70:92:aa:b1,e8:ba:70:61:07:02,e8:ba:70:61:25:54,e8:ba:70:61:25:53,e8:ba:70:92:c4:e4,e8:ba:70:c2:44:12,58:35:d9:aa:c2:40,58:35:d9:aa:99:e0,e8:ba:70:92:b3:22,e8:ba:70:92:c4:e3,e8:ba:70:92:b3:23,e8:ba:70:c2:4e:30,58:35:d9:aa:d5:e2,e8:ba:70:c2:4e:33,dc:a5:f4:b8:73:81,58:35:d9:aa:c4:e0,e8:ba:70:c2:41:91,e8:ba:70:61:07:03,e8:ba:70:c2:41:94,e8:ba:70:92:aa:b3,58:35:d9:aa:99:e3,e8:ba:70:9c:c7:32,e8:ba:70:c2:44:31,14:dd:a9:70:cc:60,e8:ba:70:9c:c7:35,e8:ba:70:c2:4e:32,e8:ba:70:92:b3:25,30:f7:72:5c:ed:28,58:35:d9:aa:99:e1,dc:a5:f4:b8:73:82,e8:ba:70:92:aa:b0,58:35:d9:aa:99:e2,e8:ba:70:61:25:51,e8:ba:70:61:07:04,00:26:52:db:01:b0,58:35:d9:aa:99:e5,00:26:5a:41:4e:88,e8:ba:70:c2:44:30,e8:ba:70:c2:44:10,58:35:d9:aa:19:e0,58:35:d9:aa:99:e4,e8:ba:70:c2:4e:34,48:ee:0c:ee:27:e4,e8:ba:70:92:c4:e5,e8:ba:70:9c:c7:31,e8:ba:70:9c:c7:34,e8:ba:70:9c:c7:30,14:dd:a9:70:e7:40,e8:ba:70:92:aa:b2,e8:ba:70:c2:44:15,58:35:d9:aa:d5:e1,e8:ba:70:c2:41:93,e8:ba:70:92:b3:21,dc:a5:f4:b8:73:85,e8:ba:70:c2:4e:35,00:26:5a:41:4e:8a,e8:ba:70:61:07:05,58:35:d9:aa:d5:e4,00:19:5b:1f:fd:30,e8:ba:70:92:c4:e2
1,2,0,0,0,-74,0,0,-71,0,-74,0,0,-73,-65,0,-73,0,0,0,0,0,0,0,-71,0,0,-71,0,0,0,0,0,0,0,-74,0,0,-72,-71,0,0,0,0,0,0,0,0,-70,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,-64,0,0,0,-74,0,0
1,2,1,0,0,-71,0,0,0,0,0,0,0,-70,-71,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,-70,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,0,0,0,0,0,0
1,2,2,0,0,-73,0,0,-72,0,-71,0,0,-70,-74,0,0,0,0,0,0,0,0,0,-73,0,0,-73,0,0,0,0,0,0,0,0,0,0,-72,-72,0,0,0,0,0,0,0,0,-70,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,-66,0,0,0,0,0,0
1,2,3,0,0,-70,0,0,-73,0,-71,0,0,-70,-70,0,0,0,0,0,0,0,0,0,-74,0,0,-74,0,0,0,0,0,0,0,0,0,0,-73,-74,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,-66,0,0,0,0,0,0
2,2,0,0,0,-68,0,0,0,0,0,0,0,-69,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0
2,2,1,0,0,-64,0,0,0,0,0,0,0,-65,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,0,0,0,0
2,2,2,0,0,-72,0,0,0,0,-73,0,0,-65,-72,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,-74,0,0,0,0,0,0,0,0,-73,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,-65,0,0,0,-73,0,0
2,2,3,0,0,-69,0,0,-70,0,0,0,0,-69,-68,0,-73,0,0,0,0,0,0,0,-70,0,0,-70,0,0,0,0,0,0,0,0,0,0,-69,-70,0,0,0,0,0,0,0,0,-73,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,-73,0,0,-65,0,0,0,-73,0,0
3,2,0,-73,0,-67,0,0,0,0,0,0,0,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,-67,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,-73,0,0,-67,0,0,0,0,0,0
3,2,1,0,0,-67,0,0,-74,0,-74,0,0,-67,-67,0,0,0,0,0,0,0,0,0,-74,0,0,-73,0,0,0,0,0,0,0,-74,0,0,-73,-74,0,0,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,-67,0,0,0,0,0,0
3,2,2,0,0,-63,0,0,0,0,-74,0,0,-63,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,-73,0,0,0,0,0,0
3,2,3,-72,0,-66,0,0,0,0,-74,0,0,-67,-67,0,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,-67,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,-73,0,0,-67,0,0,0,0,0,0
4,2,0,0,0,-69,0,0,0,0,0,0,0,-68,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,-69,0,0,0,0,0,0
4,2,1,0,0,-65,0,0,0,0,-73,0,0,-65,-65,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,0,-73,0,0
